id,race,gender,sex.worker,pimp,sex.work.client,drug.dealer,drug.cook,thief,retired,housewife,disabled,unemployed,homeless
3379,White,Female,Yes,No,No,No,No,No,No,No,No,No,No
3380,White,Male,No,No,Yes,No,No,No,No,No,No,No,No
3381,White,Male,No,No,No,No,No,No,No,No,No,No,No
3382,Black,Female,No,No,No,No,No,No,No,No,No,No,No
3383,Black,Male,No,No,No,No,No,Yes,No,No,No,No,No
3384,White,Male,No,No,No,No,No,No,No,No,No,No,No
3385,White,Male,No,No,No,Yes,No,No,No,No,No,No,No
3386,White,Male,No,No,No,Yes,No,No,No,No,No,No,No
3387,White,Female,No,No,No,Yes,No,No,No,No,No,No,No
3388,White,Female,No,No,No,No,No,No,No,No,No,Yes,No
3389,White,Male,No,No,No,Yes,No,No,No,No,No,No,No
3390,White,Male,No,No,No,No,No,No,No,No,Yes,No,No
3391,White,Female,No,No,No,No,No,No,No,No,No,No,No
3392,White,Female,No,No,No,No,No,No,No,No,Yes,No,No
3393,White,Female,No,No,No,No,No,No,No,No,No,No,No
3394,White,Male,No,No,No,No,No,No,No,No,No,No,No
3395,White,Male,No,No,No,No,No,No,No,No,No,No,No
3396,White,Female,No,No,No,No,No,No,No,No,No,No,No
3397,White,Male,No,No,No,No,No,No,No,No,No,No,No
3398,White,Male,No,No,No,No,No,No,No,No,No,No,No
3399,White,Male,No,No,Yes,No,No,No,Yes,No,No,No,No
3400,White,Male,No,No,Yes,No,No,No,No,No,No,No,No
3401,Black,Male,No,No,No,No,No,No,No,No,No,No,No
3402,Black,Male,No,No,No,No,No,No,No,No,Yes,Yes,No
3403,White,Female,No,No,No,No,No,No,No,No,No,Yes,No
3404,White,Male,No,No,No,Yes,No,No,No,No,No,No,No
3405,White,Male,No,No,No,No,No,No,No,No,No,No,No
3406,White,Male,No,No,No,No,No,No,No,No,No,No,No
3407,White,Male,No,No,No,No,No,No,No,No,No,No,No
3408,White,Female,No,No,No,No,No,No,No,Yes,No,No,No
3409,White,Female,No,No,No,No,No,No,No,Yes,No,No,No
3410,White,Male,No,No,No,Yes,No,No,No,No,No,No,No
3411,White,Male,No,No,No,No,No,No,No,No,No,No,No
3412,White,Male,No,No,No,No,No,No,No,No,No,No,No
3413,White,Male,No,No,No,No,No,No,No,No,No,No,No
3414,White,Female,No,No,No,No,No,No,No,Yes,No,No,No
3415,White,Male,No,No,No,No,No,No,No,No,No,No,No
3416,White,Male,No,No,No,No,No,No,No,No,No,Yes,No
3417,White,Male,No,No,Yes,No,No,No,No,No,No,No,No
3418,White,Male,No,No,Yes,No,No,No,No,No,No,No,No
3419,White,Male,No,No,No,No,No,No,No,No,No,No,No
3420,White,Female,No,No,No,No,No,No,No,No,No,No,No
3421,White,Male,No,No,No,No,No,No,No,No,No,No,No
3422,Black,Female,No,No,No,No,No,No,No,No,No,No,No
3423,Black,Male,No,No,No,No,No,No,No,No,No,No,No
3424,Black,Male,No,No,No,No,No,No,No,No,No,No,No
3425,White,Male,No,No,No,No,No,No,No,No,No,No,No
3426,White,Male,No,No,No,No,No,No,No,No,No,No,No
3427,White,Female,No,No,No,No,No,No,No,Yes,No,No,No
3428,Black,Female,No,No,No,No,No,No,No,No,No,No,No
3429,Black,Male,No,No,No,No,No,No,No,No,No,No,No
3430,Black,Male,No,No,No,No,No,No,No,No,No,No,No
3431,White,Male,No,No,No,No,No,No,No,No,No,No,No
3432,Black,Male,No,No,No,No,No,No,No,No,No,Yes,No
3433,White,Male,No,No,No,No,No,No,No,No,No,No,No
3434,White,Male,No,No,No,No,No,No,No,No,No,Yes,No
3435,White,Male,No,No,No,No,No,No,No,No,No,No,No
3436,White,Female,No,No,No,No,No,No,No,No,No,No,No
3437,White,Male,No,No,No,No,No,No,No,No,No,Yes,No
3438,White,Male,No,No,No,No,No,No,No,No,No,No,No
3439,White,Male,No,No,No,No,No,No,No,No,No,Yes,No
3440,Black,Female,No,No,No,No,No,No,No,No,No,No,No
3441,Black,Male,No,No,No,No,No,No,No,No,No,No,No
3442,White,Male,No,No,No,No,No,No,No,No,No,No,No
3443,White,Female,No,No,No,No,No,No,No,No,No,No,No
3444,White,Female,No,No,No,No,No,No,No,No,No,Yes,No
3445,White,Male,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA
3446,White,Male,No,No,No,No,No,No,No,No,No,No,No
3447,White,Male,No,No,No,No,No,No,No,No,No,No,No
3448,White,Male,No,No,No,No,No,No,No,No,No,No,No
3449,White,Male,No,No,No,No,No,No,No,No,No,No,No
3450,White,Female,No,No,No,No,No,No,No,No,Yes,No,No
3451,White,Female,No,No,No,No,No,No,No,No,No,No,No
3452,Black,Female,No,No,No,No,No,No,No,No,No,No,No
3453,Black,Female,NA,NA,No,NA,NA,NA,NA,No,NA,NA,NA
3454,Black,Male,No,No,No,No,No,No,No,No,No,No,No
3455,Black,Female,NA,NA,No,NA,NA,NA,NA,No,NA,NA,NA
3456,Black,Male,No,No,No,No,No,No,No,No,No,No,No
3457,White,Female,No,No,No,No,No,No,No,No,No,No,No
3458,White,Female,No,No,No,No,No,No,No,No,No,No,No
3459,White,Female,No,No,No,No,No,No,No,No,No,No,No
3460,NA,Male,No,No,No,No,No,No,No,No,No,No,No
3461,Black,Female,No,No,No,No,No,No,No,No,No,No,No
3462,Black,Female,No,No,No,No,No,No,No,No,No,No,No
3463,Black,Male,No,No,No,No,No,No,No,No,No,No,No
3464,Black,Male,No,No,No,No,No,No,No,No,No,No,No
3465,NA,Male,No,No,No,No,No,No,No,No,No,No,No
3466,NA,Female,No,No,No,No,No,No,No,No,No,No,No
3467,NA,Male,No,No,No,No,No,No,No,No,No,No,No
3468,White,Male,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA
3469,White,Female,No,No,No,No,No,No,No,No,No,No,No
3470,White,Female,No,No,No,No,No,No,No,No,No,No,No
3471,White,Male,No,No,No,No,No,No,No,No,No,No,No
3472,White,Female,No,No,No,No,No,No,No,No,No,No,No
3473,White,Male,No,No,No,No,No,No,No,No,No,No,No
3474,White,Male,No,No,No,No,No,No,No,No,No,No,No
3475,White,Male,No,No,No,No,No,No,No,No,No,No,No
3476,White,Male,No,No,No,No,No,No,No,No,Yes,No,No
3477,White,Male,No,No,No,No,No,No,No,No,No,No,No
