id,race,gender,sex.worker,pimp,sex.work.client,drug.dealer,drug.cook,thief,retired,housewife,disabled,unemployed,homeless
1,White,Female,Yes,No,No,No,No,No,No,No,No,Yes,No
2,White,Female,Yes,No,No,No,No,No,No,Yes,No,Yes,No
3,White,Male,No,No,Yes,No,No,No,Yes,No,No,No,No
4,Other,Female,No,No,No,No,No,No,No,No,No,No,No
5,White,Male,No,No,Yes,Yes,Yes,No,No,No,No,No,No
6,Black,Male,No,No,Yes,No,No,No,No,No,No,No,No
7,White,Male,No,No,No,No,No,No,No,No,No,No,No
8,White,Male,No,No,No,No,No,No,No,No,No,No,No
9,White,Female,No,No,No,No,No,No,No,No,No,Yes,No
10,White,Female,Yes,No,No,Yes,No,No,No,No,No,Yes,No
11,White,Male,No,No,Yes,No,No,No,No,No,No,No,No
12,White,Male,No,No,Yes,No,No,No,No,No,No,No,No
13,White,Female,No,No,No,Yes,No,No,No,No,No,Yes,No
14,White,Female,No,No,No,No,No,No,No,No,No,Yes,No
15,White,Male,No,No,No,No,No,No,Yes,No,No,No,No
16,Black,Female,Yes,No,No,No,No,Yes,No,No,No,Yes,No
17,Other,Female,Yes,No,No,No,No,No,No,Yes,No,No,No
18,White,Male,No,No,No,No,No,No,No,No,No,No,No
19,White,Male,No,No,Yes,No,No,No,No,No,No,No,No
20,Black,Female,Yes,No,No,No,No,No,No,No,No,Yes,No
21,Black,Female,Yes,No,No,No,No,No,No,No,No,No,No
22,White,Male,No,No,Yes,No,No,No,No,No,No,No,No
23,Black,Female,Yes,No,No,No,No,No,No,No,No,Yes,No
24,White,Female,Yes,No,No,No,No,No,No,No,No,No,No
25,Black,Female,Yes,No,No,Yes,No,No,No,No,No,Yes,No
26,Black,Male,No,No,Yes,No,No,No,No,No,No,Yes,No
27,White,Male,No,No,Yes,No,No,No,No,No,No,No,No
28,White,Male,No,No,Yes,No,No,No,No,No,No,Yes,No
29,White,Female,Yes,No,No,No,No,No,No,No,No,Yes,No
30,White,Female,No,No,No,No,No,No,No,No,No,No,No
31,White,Female,No,No,No,No,No,No,No,No,Yes,No,No
32,White,Female,Yes,No,No,No,No,No,No,No,No,No,No
33,White,Male,No,No,Yes,No,No,No,No,No,No,No,Yes
34,White,Male,No,No,Yes,No,No,No,No,No,No,Yes,No
35,Black,Female,Yes,No,No,No,No,No,No,Yes,No,No,No
36,White,Male,No,No,Yes,No,No,No,No,No,No,No,No
37,White,Male,No,No,Yes,No,No,No,No,No,No,No,No
38,White,Male,No,No,Yes,No,No,No,No,No,No,Yes,No
39,White,Female,Yes,No,No,Yes,No,No,No,No,No,No,No
40,White,Female,Yes,No,No,No,No,No,No,No,Yes,Yes,No
41,White,Female,Yes,No,No,Yes,No,No,No,No,No,Yes,No
42,White,Male,No,No,Yes,No,No,No,No,No,No,Yes,Yes
43,Black,Female,Yes,No,No,No,No,No,No,No,No,No,No
44,White,Male,No,No,Yes,No,No,No,No,No,No,No,No
45,White,Male,No,No,Yes,No,No,No,No,No,No,Yes,No
46,White,Female,Yes,No,No,No,No,No,No,No,No,Yes,No
47,White,Female,Yes,No,No,No,No,No,No,No,No,No,No
48,White,Male,No,No,Yes,No,No,No,No,No,No,No,No
49,Black,Female,Yes,No,No,No,No,No,No,No,Yes,Yes,No
50,White,Female,Yes,No,No,No,No,No,No,No,No,No,No
51,Black,Female,Yes,No,No,No,No,No,No,No,No,No,No
52,White,Female,Yes,No,No,No,No,No,No,No,No,No,No
53,White,Female,Yes,No,No,No,No,No,No,No,Yes,Yes,No
54,White,Male,No,No,Yes,No,No,No,No,No,No,No,No
55,Black,Female,Yes,No,No,Yes,No,No,No,No,No,Yes,No
56,White,Male,No,No,Yes,No,No,No,No,No,No,No,No
57,White,Female,Yes,No,No,No,No,No,No,No,No,No,No
58,Black,Female,Yes,No,No,No,No,No,No,No,No,Yes,No
59,White,Female,Yes,No,No,No,No,No,No,No,No,Yes,No
60,Black,Male,No,No,Yes,No,No,No,No,No,No,No,No
61,White,Male,No,No,No,No,No,No,No,No,No,No,No
62,White,Female,Yes,No,No,Yes,No,No,No,No,No,Yes,No
63,White,Male,No,No,Yes,No,No,No,No,No,No,Yes,No
64,White,Female,Yes,No,No,No,No,No,No,No,No,Yes,No
65,Asian/PI,Female,Yes,No,No,No,No,No,No,No,No,No,No
66,White,Male,No,No,No,No,No,No,No,No,No,No,No
67,Black,Female,Yes,No,No,No,No,No,No,No,No,No,No
68,Black,Female,Yes,No,No,No,No,No,No,No,No,Yes,No
69,White,Female,Yes,No,No,No,No,No,No,No,No,Yes,No
70,White,Male,No,No,Yes,No,No,No,No,No,No,No,No
71,White,Female,Yes,No,No,No,No,No,No,No,No,Yes,No
72,White,Male,No,No,Yes,No,No,No,No,No,No,No,No
73,White,Male,No,Yes,No,No,No,No,No,No,No,No,No
74,Black,Female,Yes,No,No,No,No,No,No,No,No,Yes,No
75,White,Female,Yes,No,No,Yes,No,No,No,No,No,Yes,No
76,White,Female,Yes,No,No,No,No,No,No,No,No,Yes,No
77,White,Female,Yes,No,No,No,No,No,No,No,No,No,No
78,White,Male,No,No,Yes,No,No,No,No,No,No,Yes,No
79,White,Male,No,No,Yes,No,No,No,No,No,No,Yes,No
80,White,Female,No,No,No,No,No,No,No,Yes,No,Yes,No
81,White,Male,No,No,Yes,No,No,No,No,No,No,No,No
82,Other,Female,Yes,No,No,Yes,No,No,No,No,Yes,Yes,No
83,White,Female,No,No,No,Yes,No,No,No,Yes,No,Yes,No
84,White,Female,Yes,No,No,No,No,No,No,No,No,Yes,No
85,Black,Male,No,No,Yes,No,No,No,No,No,No,No,No
86,White,Male,No,No,No,No,No,No,No,No,No,Yes,No
87,White,Female,No,No,No,No,No,No,No,No,No,No,No
88,Black,Male,No,No,Yes,No,No,No,No,No,No,No,No
89,White,Female,Yes,No,No,No,No,No,No,No,No,Yes,No
90,Black,Male,No,No,Yes,No,No,No,No,No,No,No,No
91,White,Female,Yes,No,No,No,No,No,No,No,No,Yes,No
92,Native American,Female,No,No,No,No,No,No,No,No,No,Yes,No
93,White,Male,No,No,No,No,No,No,No,No,No,No,No
94,White,Female,No,No,No,No,No,No,No,No,No,No,No
95,White,Male,No,No,Yes,No,No,No,No,No,No,No,No
96,White,Female,Yes,No,No,No,No,No,No,No,No,No,No
97,White,Female,No,No,No,No,No,No,No,No,No,No,No
98,Other,Female,Yes,No,No,No,No,No,No,No,No,No,No
99,White,Female,Yes,No,No,No,No,No,No,No,No,No,No
100,Black,Male,No,No,Yes,Yes,No,No,No,No,No,Yes,No
101,White,Male,No,No,No,No,No,No,No,No,No,Yes,No
102,White,Female,Yes,No,No,No,No,No,No,No,No,No,No
103,White,Female,No,No,No,Yes,No,No,No,No,No,Yes,No
104,Black,Male,No,No,Yes,No,No,No,No,No,No,Yes,Yes
105,White,Female,No,No,No,Yes,No,No,No,No,No,Yes,No
106,White,Male,No,No,Yes,No,No,No,No,No,No,No,No
107,Black,Male,No,Yes,No,No,No,No,No,No,No,No,No
108,White,Male,No,No,Yes,No,No,No,No,No,No,Yes,No
109,Native American,Female,No,No,No,No,No,No,No,No,No,No,No
110,White,Female,Yes,No,No,No,No,No,No,Yes,No,Yes,No
111,White,Male,No,No,No,No,No,No,No,No,No,Yes,No
112,Black,Male,No,No,No,No,No,No,No,No,No,Yes,No
113,White,Female,No,No,No,No,No,No,No,No,No,No,No
114,White,Male,No,No,Yes,No,No,No,No,No,No,No,No
115,White,Female,Yes,No,No,No,No,No,No,No,No,Yes,No
116,White,Male,No,Yes,No,Yes,No,No,No,No,No,Yes,No
117,White,Male,No,No,No,No,No,No,No,No,No,No,No
118,Black,Male,No,No,Yes,No,No,No,No,No,No,No,No
119,Black,Male,No,Yes,No,No,No,No,No,No,No,Yes,No
120,White,Female,No,No,No,No,No,No,No,Yes,No,Yes,No
121,Black,Male,No,Yes,No,No,No,No,No,No,No,Yes,No
122,White,Female,Yes,No,No,No,No,No,No,No,No,Yes,No
123,White,Male,No,No,Yes,No,No,No,No,No,No,No,No
124,White,Male,No,No,No,No,No,No,No,No,No,No,No
125,White,Female,No,No,No,No,No,No,No,No,No,No,No
126,White,Male,No,No,No,No,No,No,No,No,No,Yes,No
127,White,Male,No,No,Yes,No,No,No,No,No,No,Yes,No
128,White,Female,No,No,No,No,No,No,No,No,No,Yes,No
129,White,Male,No,No,Yes,No,No,No,Yes,No,No,No,No
130,Black,Male,No,No,Yes,Yes,No,No,No,No,No,Yes,No
131,White,Female,No,No,No,No,No,No,No,Yes,No,No,No
132,White,Female,Yes,No,No,No,No,No,No,No,No,Yes,Yes
133,White,Male,No,No,Yes,Yes,No,No,No,No,No,Yes,No
134,Black,Female,Yes,No,No,Yes,No,No,No,No,Yes,Yes,No
135,White,Male,No,No,No,No,No,No,No,No,No,No,No
136,White,Male,No,No,Yes,No,No,No,No,No,No,No,No
137,White,Female,Yes,No,No,No,No,No,No,Yes,No,No,No
138,Black,Female,Yes,No,No,No,No,No,No,No,No,Yes,Yes
139,White,Female,Yes,No,No,No,No,No,No,No,No,No,Yes
140,Black,Male,No,No,Yes,No,No,No,No,No,No,No,No
141,Black,Female,No,No,No,No,No,No,No,No,No,No,No
142,Black,Male,No,Yes,No,Yes,No,No,No,No,No,Yes,No
143,White,Female,No,No,No,No,No,No,No,No,No,Yes,No
144,Black,Male,No,No,No,No,No,No,No,No,No,Yes,No
145,Black,Male,No,Yes,No,Yes,No,No,No,No,No,Yes,No
146,White,Female,Yes,No,No,Yes,No,No,No,No,No,Yes,No
147,Black,Female,Yes,No,No,No,No,No,No,No,No,No,No
148,White,Male,No,No,Yes,No,No,No,No,No,No,No,No
149,White,Male,No,No,Yes,No,No,No,No,No,No,No,No
150,White,Female,Yes,No,No,No,No,No,No,No,No,Yes,No
151,Black,Female,Yes,No,No,No,No,No,No,No,No,Yes,Yes
152,Black,Female,Yes,No,No,No,Yes,No,No,No,No,Yes,No
153,White,Male,No,No,No,No,No,No,No,No,No,No,No
154,White,Male,No,No,Yes,No,No,No,No,No,No,No,No
155,White,Male,No,No,Yes,No,No,No,No,No,No,No,No
156,Black,Female,No,No,No,Yes,No,No,No,No,No,Yes,No
157,White,Female,No,No,No,No,No,No,No,Yes,No,No,No
158,Black,Female,Yes,No,No,No,No,No,No,No,No,No,No
159,White,Female,No,No,No,No,No,No,No,Yes,No,Yes,No
160,Other,Male,No,No,Yes,No,No,No,No,No,Yes,Yes,No
161,Black,Female,Yes,No,No,Yes,No,No,No,No,No,Yes,No
162,White,Male,No,No,No,No,No,No,No,No,No,No,No
163,Black,Female,Yes,No,No,No,No,No,No,No,No,Yes,No
164,Native American,Female,Yes,No,No,No,No,No,No,No,No,No,No
165,Black,Male,No,No,Yes,No,No,No,No,No,No,Yes,No
166,Black,Male,No,No,Yes,No,No,No,No,No,No,No,No
167,White,Male,No,No,No,No,No,No,No,No,No,No,No
168,White,Male,No,No,Yes,No,No,No,No,No,No,Yes,No
169,White,Female,Yes,No,No,No,No,No,No,No,No,Yes,No
170,White,Male,No,No,No,No,No,No,No,No,Yes,Yes,No
171,White,Female,Yes,No,No,No,No,No,No,No,No,Yes,No
172,White,Female,No,No,No,No,No,No,No,Yes,No,No,No
173,White,Male,No,Yes,No,Yes,No,No,No,No,No,Yes,No
174,White,Male,No,No,Yes,No,No,No,No,No,No,No,No
175,Black,Male,No,No,Yes,No,No,No,No,No,No,No,No
176,White,Male,No,No,Yes,Yes,No,No,No,No,No,Yes,No
177,Asian/PI,Female,Yes,No,No,No,No,No,No,No,No,Yes,No
178,White,Male,No,No,No,No,No,No,No,No,No,No,No
179,White,Female,No,No,No,Yes,No,No,No,No,No,No,No
180,White,Female,No,No,No,No,No,No,No,No,No,Yes,No
181,White,Female,No,No,No,Yes,No,Yes,No,No,Yes,Yes,No
182,White,Male,No,No,Yes,No,No,No,Yes,No,Yes,Yes,No
183,Black,Female,Yes,No,No,No,No,No,No,No,No,No,Yes
184,Black,Male,No,No,Yes,No,No,No,No,No,No,Yes,No
185,White,Male,No,No,No,No,No,No,No,No,No,No,No
186,White,Female,No,No,No,No,No,No,No,Yes,Yes,No,No
187,Black,Female,Yes,No,No,No,No,No,No,No,No,No,Yes
188,White,Male,No,No,Yes,No,No,No,No,No,No,No,No
189,White,Male,No,No,No,Yes,No,No,No,No,Yes,Yes,No
190,White,Female,No,No,No,No,No,No,No,No,No,No,No
191,White,Female,No,No,No,No,No,No,No,No,No,No,No
192,White,Male,No,No,Yes,No,No,No,No,No,No,No,No
193,Black,Male,No,Yes,No,No,No,Yes,No,No,No,Yes,No
194,White,Male,No,No,No,No,No,No,No,No,No,No,No
195,Black,Male,No,No,Yes,No,No,No,No,No,Yes,Yes,No
196,Black,Female,Yes,No,No,No,No,No,No,No,No,Yes,No
197,White,Female,Yes,No,No,No,No,No,No,No,No,Yes,No
198,Asian/PI,Male,No,No,Yes,No,No,No,No,No,No,No,No
199,White,Male,No,No,No,No,No,No,No,No,No,Yes,No
200,Black,Female,No,No,No,Yes,No,Yes,No,No,No,Yes,No
201,White,Male,No,No,No,No,No,No,No,No,No,No,No
202,White,Male,No,No,Yes,No,No,No,No,No,No,No,No
203,White,Female,No,No,No,No,No,No,No,No,No,No,No
204,White,Female,No,No,No,No,No,No,No,No,No,Yes,No
205,Black,Male,No,No,Yes,No,No,No,No,No,No,No,No
206,White,Male,No,No,Yes,No,No,No,No,No,No,No,No
207,White,Male,No,No,No,No,No,No,No,No,No,No,No
208,White,Male,No,No,No,No,No,No,No,No,No,No,No
209,White,Male,No,No,Yes,No,No,No,No,No,No,No,No
210,Black,Female,Yes,No,No,No,No,No,No,No,No,Yes,No
211,White,Female,No,No,No,No,No,No,No,No,No,Yes,No
212,White,Male,No,No,Yes,No,No,No,No,No,No,No,No
213,White,Male,No,No,No,No,No,No,No,No,No,Yes,No
214,White,Male,No,Yes,No,Yes,No,No,No,No,No,No,No
215,White,Female,No,No,No,No,No,No,No,Yes,No,No,No
216,White,Male,No,No,No,Yes,No,No,No,No,Yes,No,No
217,White,Female,No,No,No,No,No,No,No,No,No,No,No
218,White,Male,No,No,Yes,No,No,No,No,No,No,Yes,No
219,White,Female,Yes,No,No,No,No,No,No,No,No,Yes,No
220,White,Female,Yes,No,No,No,No,No,No,No,No,Yes,No
221,White,Male,No,No,No,No,No,No,No,No,No,No,No
222,White,Female,Yes,No,No,No,No,No,No,No,No,No,No
223,White,Male,No,Yes,No,No,No,No,No,No,No,No,No
224,White,Male,No,Yes,No,No,No,No,No,No,No,No,No
225,Black,Male,No,No,Yes,No,No,No,No,No,No,No,No
226,White,Male,No,No,Yes,No,No,No,No,No,No,No,No
227,Asian/PI,Male,No,No,Yes,No,No,No,No,No,No,Yes,Yes
228,White,Male,No,No,No,Yes,No,No,No,No,No,Yes,No
229,White,Male,No,No,Yes,No,No,No,No,No,No,No,No
230,White,Female,Yes,No,No,No,No,No,No,No,No,Yes,No
231,White,Female,Yes,No,No,No,No,No,No,No,No,No,No
232,White,Female,No,No,No,No,No,No,No,No,No,No,No
233,White,Male,No,No,No,No,No,No,No,No,No,Yes,No
234,White,Male,No,No,No,No,No,No,No,No,No,No,No
235,White,Male,No,No,No,Yes,No,Yes,No,No,No,Yes,No
236,White,Male,No,No,No,No,No,No,No,No,No,Yes,No
237,White,Female,Yes,No,No,No,No,No,No,No,No,Yes,No
238,White,Male,No,No,Yes,No,No,No,No,No,No,No,No
239,White,Female,No,No,No,No,No,No,No,No,No,Yes,No
240,White,Male,No,No,Yes,No,No,No,No,No,No,No,No
241,White,Male,No,No,No,No,No,No,No,No,Yes,Yes,No
242,White,Female,Yes,No,No,No,No,No,No,No,No,Yes,No
243,White,Male,No,No,No,No,No,No,No,No,No,No,No
244,Black,Male,No,No,No,No,No,No,No,No,No,Yes,No
245,White,Female,No,No,No,No,No,No,No,No,Yes,Yes,No
246,White,Male,No,No,Yes,No,No,No,No,No,No,No,No
247,White,Female,Yes,No,No,No,No,No,No,No,No,Yes,No
248,White,Male,No,No,No,No,No,No,No,No,No,No,No
249,White,Female,No,No,No,No,No,No,No,No,No,No,No
250,White,Female,Yes,No,No,No,No,No,No,No,No,Yes,No
251,White,Female,Yes,No,Yes,No,No,No,No,No,No,No,No
252,White,Female,Yes,No,Yes,No,No,No,No,No,No,No,No
253,Black,Male,No,Yes,No,Yes,No,No,No,No,No,No,No
254,Black,Female,Yes,No,No,No,No,Yes,No,No,No,Yes,No
255,White,Female,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes
256,White,Male,No,No,No,Yes,No,No,No,No,No,Yes,No
257,White,Female,No,No,No,No,No,No,No,No,No,Yes,No
258,White,Female,Yes,No,No,No,No,No,No,No,No,No,No
259,Black,Female,Yes,No,No,Yes,No,No,No,No,No,Yes,No
260,White,Male,No,No,Yes,No,No,No,No,No,No,No,No
261,White,Male,No,Yes,No,Yes,No,No,No,No,No,Yes,No
262,Black,Male,No,No,No,Yes,No,No,No,No,No,No,No
263,Black,Female,No,No,No,Yes,No,No,No,No,No,Yes,No
264,Black,Male,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA
265,Black,Male,No,Yes,No,Yes,Yes,No,No,No,No,No,No
266,White,Male,No,No,Yes,No,No,No,No,No,No,No,No
267,White,Male,No,No,Yes,No,No,No,No,No,No,No,No
268,Native American,Female,Yes,No,No,No,No,No,No,No,No,No,No
269,Black,Female,Yes,No,No,No,No,No,No,No,No,No,No
270,White,Male,No,No,No,No,No,No,No,No,No,No,No
271,White,Female,No,No,No,Yes,No,No,No,No,No,No,No
272,Black,Female,Yes,No,No,No,No,No,No,No,No,No,No
273,White,Male,No,No,No,Yes,No,No,No,No,No,No,No
274,White,Female,No,No,No,No,No,No,No,No,No,No,No
275,Black,Female,Yes,No,Yes,No,No,No,No,No,No,No,No
276,White,Female,Yes,No,No,Yes,No,No,No,No,No,Yes,No
277,White,Female,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No
278,Black,Male,No,Yes,No,No,No,No,No,No,No,No,No
279,White,Male,No,No,No,No,No,No,No,No,No,No,No
280,Black,Male,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No
281,White,Female,No,No,No,Yes,No,No,No,No,No,Yes,No
282,White,Male,No,No,No,No,No,No,No,No,No,No,No
283,Black,Female,Yes,No,No,Yes,No,Yes,No,No,No,Yes,No
284,Black,Female,Yes,No,No,No,No,No,No,No,No,No,No
285,White,Male,No,No,No,Yes,No,No,No,No,No,Yes,No
286,Black,Male,No,Yes,No,Yes,No,No,No,No,No,No,No
287,Black,Male,No,Yes,No,Yes,No,Yes,No,No,No,Yes,No
288,White,Male,No,No,No,Yes,No,No,No,No,Yes,Yes,No
289,Black,Male,No,Yes,No,No,No,No,No,No,No,No,No
290,Black,Male,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No
291,Black,Male,No,Yes,No,Yes,No,No,No,No,No,No,No
292,White,Female,No,No,No,No,No,No,No,No,No,Yes,No
293,Black,Male,No,Yes,No,Yes,No,No,No,No,No,No,No
294,Black,Female,No,No,No,No,No,No,No,No,No,Yes,No
295,Black,Male,No,No,No,No,No,No,Yes,No,No,No,No
296,White,Male,No,No,Yes,No,No,No,Yes,No,No,Yes,No
297,White,Female,No,No,Yes,Yes,No,No,No,Yes,No,No,No
298,Black,Female,Yes,No,No,Yes,No,No,No,No,No,Yes,No
299,Black,Male,No,Yes,No,Yes,No,No,No,No,No,Yes,No
300,Black,Female,No,No,No,Yes,No,No,No,No,Yes,Yes,No
301,Native American,Female,No,No,No,No,No,No,No,Yes,No,Yes,No
302,White,Female,No,No,No,No,No,No,No,No,No,No,No
303,White,Male,No,No,Yes,No,No,No,No,No,Yes,No,No
304,Black,Male,No,No,No,Yes,No,No,No,No,No,Yes,No
305,White,Female,Yes,No,No,No,No,No,No,No,No,No,No
306,White,Female,No,No,No,No,No,Yes,No,No,No,Yes,No
307,White,Male,No,No,No,Yes,No,Yes,No,No,No,No,No
308,White,Male,No,No,No,No,No,No,No,No,No,Yes,No
309,Black,Female,Yes,No,No,No,No,No,No,No,No,No,No
310,White,Male,No,No,No,No,No,No,No,No,No,No,No
311,Black,Male,No,No,No,No,No,No,Yes,No,No,Yes,No
312,White,Male,No,No,No,Yes,No,No,No,No,No,Yes,No
313,White,Male,No,No,Yes,No,No,No,No,No,No,No,No
314,White,Male,No,No,No,No,No,No,No,No,No,No,No
315,White,Male,No,No,No,No,No,No,No,No,Yes,Yes,No
316,White,Female,No,No,No,No,No,No,No,No,No,Yes,No
317,White,Female,No,No,No,No,No,No,No,Yes,No,No,No
318,Black,Male,No,No,No,No,No,No,Yes,No,No,No,No
319,Black,Female,No,No,No,No,No,No,No,No,No,Yes,No
320,Black,Male,No,Yes,No,Yes,No,No,No,No,No,Yes,No
321,White,Male,No,No,No,No,No,No,No,No,No,No,No
322,Black,Female,No,No,No,No,No,No,No,No,No,Yes,No
323,Black,Female,Yes,No,Yes,No,No,No,No,No,No,No,No
324,Black,Female,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA
325,Black,Male,No,No,No,Yes,No,No,No,No,No,No,No
326,White,Female,Yes,No,No,No,No,No,No,No,No,No,No
327,White,Male,No,No,No,No,No,No,No,No,No,No,No
328,White,Male,No,No,No,No,No,No,No,No,Yes,Yes,Yes
329,White,Female,No,No,Yes,Yes,No,Yes,No,No,No,Yes,No
330,White,Female,Yes,No,No,No,No,No,No,No,No,No,No
331,White,Male,No,No,Yes,No,No,No,No,No,No,No,No
332,Black,Female,Yes,No,No,No,No,No,No,No,No,No,No
333,White,Female,No,No,No,No,No,No,No,No,No,No,No
334,Black,Female,Yes,No,No,No,No,No,No,No,No,Yes,No
335,White,Female,No,No,No,No,No,No,No,No,No,No,No
336,White,Female,No,No,No,Yes,No,Yes,No,No,No,Yes,No
337,White,Male,No,No,No,Yes,No,No,No,No,Yes,No,No
338,White,Female,No,No,No,No,No,No,No,No,No,No,No
339,White,Male,No,No,No,No,No,No,No,No,No,Yes,No
340,White,Male,No,No,No,Yes,No,No,No,No,Yes,Yes,No
341,White,Female,No,No,Yes,No,No,No,No,No,No,Yes,No
342,Black,Male,No,No,No,Yes,No,No,No,No,Yes,Yes,No
343,Black,Male,No,Yes,No,Yes,No,No,No,No,No,No,No
344,Black,Male,No,No,No,No,No,No,No,No,No,No,No
345,White,Female,No,No,No,No,No,No,No,No,No,No,No
346,White,Male,No,No,No,Yes,No,No,No,No,Yes,Yes,No
347,Black,Male,No,No,No,Yes,No,No,No,No,No,No,No
348,Black,Male,No,No,No,No,No,No,No,No,No,No,No
349,Black,Male,No,Yes,No,Yes,No,Yes,No,No,No,No,No
350,White,Male,No,No,No,No,No,Yes,No,No,No,Yes,No
351,White,Female,No,No,No,No,No,No,No,No,No,Yes,No
352,White,Male,No,No,Yes,No,No,No,No,No,No,No,No
353,White,Female,No,No,No,No,No,No,No,No,No,Yes,No
354,White,Female,No,No,No,Yes,No,No,No,No,No,Yes,No
355,Black,Male,No,Yes,No,No,No,No,No,No,Yes,No,No
356,Black,Male,No,No,No,Yes,No,No,No,No,No,Yes,No
357,White,Female,Yes,No,No,Yes,No,No,No,No,No,No,No
358,White,Female,Yes,No,No,No,No,No,No,No,No,No,No
359,White,Male,No,No,Yes,No,No,No,No,No,No,No,No
360,White,Female,No,No,No,No,No,No,No,No,No,Yes,No
361,White,Male,No,No,No,No,No,No,No,No,No,No,No
362,Black,Male,No,No,No,No,No,Yes,No,No,Yes,No,No
363,White,Male,No,Yes,No,No,No,No,No,No,No,Yes,No
364,White,Female,No,No,No,No,No,No,No,No,No,Yes,No
365,White,Male,No,No,No,Yes,No,No,No,No,No,No,No
366,White,Female,Yes,No,No,No,No,No,No,No,No,No,No
367,White,Female,Yes,No,Yes,No,No,No,No,No,No,No,No
368,White,Male,No,No,No,No,No,No,No,No,No,Yes,No
369,Black,Male,No,Yes,No,No,No,No,No,No,No,Yes,No
370,White,Female,No,No,No,No,No,No,No,No,No,Yes,No
371,White,Female,No,No,No,No,No,No,No,No,Yes,No,No
372,White,Female,No,No,No,No,No,No,No,No,No,No,No
373,White,Female,Yes,No,No,Yes,No,No,No,No,No,Yes,No
374,White,Female,Yes,No,No,Yes,No,No,No,No,No,Yes,No
375,White,Male,No,No,No,Yes,No,Yes,No,No,Yes,Yes,No
376,White,Female,Yes,No,No,No,No,No,No,No,No,No,No
377,Black,Male,No,No,No,No,No,No,Yes,No,No,No,No
378,Black,Female,No,No,No,Yes,No,No,No,Yes,No,Yes,No
379,White,Male,No,No,No,No,No,Yes,No,No,No,Yes,No
380,Black,Male,No,Yes,No,No,No,No,No,No,Yes,Yes,No
381,Black,Male,No,No,Yes,No,No,No,No,No,No,No,No
382,White,Male,No,No,Yes,No,No,No,No,No,No,No,No
383,White,Male,No,No,Yes,No,No,No,Yes,No,No,No,No
384,White,Male,No,No,Yes,No,No,No,No,No,No,No,No
385,White,Male,No,No,Yes,No,No,No,Yes,No,No,No,No
386,Black,Male,No,No,No,No,No,No,No,No,No,No,No
387,White,Female,No,No,No,Yes,No,No,No,No,No,No,No
388,White,Male,No,No,No,No,No,No,No,No,No,No,No
389,White,Male,No,No,Yes,No,No,No,No,No,No,No,No
390,White,Male,No,No,Yes,No,No,No,No,No,No,No,No
391,White,Male,No,No,Yes,No,No,No,No,No,No,No,No
392,White,Female,Yes,No,Yes,No,No,No,No,No,No,No,No
393,White,Male,No,No,No,No,No,No,No,No,No,No,No
394,White,Male,No,No,No,No,No,No,No,No,No,Yes,No
395,Asian/PI,Male,No,No,Yes,No,No,No,No,No,No,No,No
396,White,Male,No,No,Yes,No,No,No,No,No,No,No,No
397,Black,Male,No,Yes,No,No,No,No,No,No,No,No,No
398,White,Male,No,No,No,No,No,No,No,No,No,No,No
399,White,Male,No,Yes,No,No,No,No,No,No,No,Yes,No
400,White,Male,No,No,No,No,No,No,No,No,Yes,Yes,No
401,White,Male,No,No,No,Yes,No,No,No,No,No,Yes,No
402,White,Male,No,Yes,No,No,No,No,No,No,No,No,No
403,White,Female,Yes,No,No,No,No,No,No,No,No,Yes,No
404,White,Male,No,Yes,No,No,No,No,No,No,No,No,No
405,White,Male,No,No,No,No,No,No,No,No,No,No,No
406,White,Male,No,No,Yes,No,No,No,No,No,No,No,No
407,White,Male,No,No,Yes,No,No,No,No,No,No,No,No
408,White,Male,No,No,Yes,No,No,No,No,No,No,No,No
409,White,Female,Yes,No,No,No,No,No,No,No,No,No,No
410,Black,Female,No,No,No,No,No,No,No,Yes,No,No,No
411,White,Female,No,No,No,No,No,No,No,No,Yes,Yes,No
412,White,Female,No,No,No,No,No,No,No,No,No,No,No
413,Black,Female,Yes,No,No,No,No,No,No,No,No,No,No
414,White,Female,No,No,No,No,No,No,No,No,No,Yes,No
415,White,Male,No,No,No,No,No,No,No,No,Yes,No,No
416,White,Female,No,No,No,No,No,No,No,No,Yes,No,No
417,White,Male,No,Yes,No,No,No,No,No,No,No,Yes,No
418,White,Female,Yes,No,No,No,No,No,No,No,No,Yes,No
419,Black,Male,No,No,Yes,No,No,No,No,No,No,No,No
420,White,Male,No,No,Yes,No,No,No,No,No,No,No,No
421,White,Male,No,No,No,Yes,Yes,No,No,No,No,Yes,No
422,White,Male,No,No,No,No,No,No,No,No,No,Yes,No
423,White,Male,No,No,No,No,No,No,No,No,No,Yes,No
424,White,Female,No,No,No,No,No,No,No,No,Yes,Yes,No
425,White,Male,No,No,No,No,No,No,No,No,Yes,Yes,No
426,White,Male,No,No,No,No,No,No,No,No,No,No,No
427,Other,Female,No,No,No,No,No,No,No,Yes,No,No,No
428,White,Male,No,No,No,No,No,No,No,No,No,Yes,No
429,White,Male,No,No,No,No,No,Yes,No,No,No,Yes,Yes
430,White,Female,No,No,No,No,No,No,No,No,No,Yes,No
